#,station,moment,variable
1,SS1,2023-04-28 12:00:00.000000,VAR1
2,SS2,2022-10-28 08:00:00.000000,VAR1
3,SS3,2023-01-28 15:30:00.000000,VAR1
4,SS1,2023-04-29 12:00:00.000000,VAR1
5,SS1,2022-10-28 08:00:00.000000,VAR1
6,SS1,2023-01-28 15:30:00.000000,VAR1
7,S5,2022-10-30 12:00:00.000000,VAR1
8,A6,2022-10-29 12:00:00.000000,VAR1
9,A6,2022-10-28 12:00:00.000000,VAR1
10,10000,2016-06-12 00:00:00.000000,NO2
11,10000,2016-06-12 01:00:00.000000,NO2
12,10000,2016-06-12 02:00:00.000000,NO2
13,10000,2016-06-12 03:00:00.000000,NO2
14,10000,2016-06-12 04:00:00.000000,NO2
15,10000,2016-06-12 05:00:00.000000,NO2
16,10000,2016-06-12 06:00:00.000000,NO2
17,10000,2016-06-12 07:00:00.000000,NO2
18,10000,2016-06-12 08:00:00.000000,NO2
19,10000,2016-06-12 09:00:00.000000,NO2
20,10000,2016-06-12 10:00:00.000000,NO2
21,10000,2016-06-12 11:00:00.000000,NO2
22,10000,2016-06-12 12:00:00.000000,NO2
23,10000,2016-06-12 13:00:00.000000,NO2
24,10000,2016-06-12 14:00:00.000000,NO2
25,10000,2016-06-12 15:00:00.000000,NO2
26,10000,2016-06-12 16:00:00.000000,NO2
27,10000,2016-06-12 17:00:00.000000,NO2
28,10000,2016-06-12 18:00:00.000000,NO2
29,10000,2016-06-12 19:00:00.000000,NO2
30,10000,2016-06-12 20:00:00.000000,NO2
31,10000,2016-06-12 21:00:00.000000,NO2
32,10000,2016-06-12 22:00:00.000000,NO2
33,10000,2016-06-12 23:00:00.000000,NO2
34,10000,2016-06-12 00:00:00.000000,SO2
35,10000,2016-06-12 01:00:00.000000,SO2
36,10000,2016-06-12 02:00:00.000000,SO2
37,10000,2016-06-12 03:00:00.000000,SO2
38,10000,2016-06-12 04:00:00.000000,SO2
39,10000,2016-06-12 05:00:00.000000,SO2
40,10000,2016-06-12 06:00:00.000000,SO2
41,10000,2016-06-12 07:00:00.000000,SO2
42,10000,2016-06-12 08:00:00.000000,SO2
43,10000,2016-06-12 09:00:00.000000,SO2
44,10000,2016-06-12 10:00:00.000000,SO2
45,10000,2016-06-12 11:00:00.000000,SO2
46,10000,2016-06-12 12:00:00.000000,SO2
47,10000,2016-06-12 13:00:00.000000,SO2
48,10000,2016-06-12 14:00:00.000000,SO2
49,10000,2016-06-12 15:00:00.000000,SO2
