#,station,moment,variable,valeur
1,10000,2016-06-12 00:00:00.000000,NO2,19
2,10000,2016-06-12 01:00:00.000000,NO2,16
3,10000,2016-06-12 02:00:00.000000,NO2,21
4,SS1,2023-04-28 12:00:00.000000,VAR1,110
5,SS2,2022-10-28 08:00:00.000000,VAR1,120
6,SS3,2023-01-28 15:30:00.000000,VAR1,115
7,SS1,2023-04-29 12:00:00.000000,VAR1,110
8,SS1,2022-10-28 08:00:00.000000,VAR1,120
9,SS1,2023-01-28 15:30:00.000000,VAR1,115
10,S5,2022-10-30 12:00:00.000000,VAR1,210
11,A6,2022-10-29 12:00:00.000000,VAR1,10
12,A6,2022-10-28 12:00:00.000000,VAR1,210
13,10000,2016-06-12 03:00:00.000000,NO2,18
14,10000,2016-06-12 04:00:00.000000,NO2,22
15,10000,2016-06-12 05:00:00.000000,NO2,27
16,10000,2016-06-12 06:00:00.000000,NO2,26
17,10000,2016-06-12 07:00:00.000000,NO2,29
18,10000,2016-06-12 08:00:00.000000,NO2,32
19,10000,2016-06-12 09:00:00.000000,NO2,23
20,10000,2016-06-12 10:00:00.000000,NO2,16
21,10000,2016-06-12 11:00:00.000000,NO2,11
22,10000,2016-06-12 12:00:00.000000,NO2,9
23,10000,2016-06-12 13:00:00.000000,NO2,9
24,10000,2016-06-12 14:00:00.000000,NO2,10
25,10000,2016-06-12 15:00:00.000000,NO2,13
26,10000,2016-06-12 16:00:00.000000,NO2,11
27,10000,2016-06-12 17:00:00.000000,NO2,10
28,10000,2016-06-12 18:00:00.000000,NO2,12
29,10000,2016-06-12 19:00:00.000000,NO2,20
30,10000,2016-06-12 20:00:00.000000,NO2,23
31,10000,2016-06-12 21:00:00.000000,NO2,23
32,10000,2016-06-12 22:00:00.000000,NO2,23
33,10000,2016-06-12 23:00:00.000000,NO2,19
34,10000,2016-06-12 00:00:00.000000,SO2,0
35,10000,2016-06-12 01:00:00.000000,SO2,0
36,10000,2016-06-12 02:00:00.000000,SO2,0
37,10000,2016-06-12 03:00:00.000000,SO2,0
38,10000,2016-06-12 04:00:00.000000,SO2,0
39,10000,2016-06-12 05:00:00.000000,SO2,0
40,10000,2016-06-12 06:00:00.000000,SO2,0
41,10000,2016-06-12 07:00:00.000000,SO2,0
42,10000,2016-06-12 08:00:00.000000,SO2,0
43,10000,2016-06-12 09:00:00.000000,SO2,0
44,10000,2016-06-12 10:00:00.000000,SO2,0
45,10000,2016-06-12 11:00:00.000000,SO2,1
46,10000,2016-06-12 12:00:00.000000,SO2,1
47,10000,2016-06-12 13:00:00.000000,SO2,0
48,10000,2016-06-12 14:00:00.000000,SO2,0
49,10000,2016-06-12 15:00:00.000000,SO2,0
50,10000,2016-06-12 16:00:00.000000,SO2,0
51,10000,2016-06-12 17:00:00.000000,SO2,0
52,10000,2016-06-12 18:00:00.000000,SO2,0
53,10000,2016-06-12 19:00:00.000000,SO2,0
54,10000,2016-06-12 20:00:00.000000,SO2,0
55,10000,2016-06-12 21:00:00.000000,SO2,0
56,10000,2016-06-12 22:00:00.000000,SO2,0
57,10000,2016-06-12 23:00:00.000000,SO2,0
58,10000,2016-06-12 00:00:00.000000,PM25,12
59,10000,2016-06-12 01:00:00.000000,PM25,9
60,10000,2016-06-12 02:00:00.000000,PM25,9
61,10000,2016-06-12 03:00:00.000000,PM25,7
62,10000,2016-06-12 04:00:00.000000,PM25,6
63,10000,2016-06-12 05:00:00.000000,PM25,6
64,10000,2016-06-12 06:00:00.000000,PM25,6
65,10000,2016-06-12 07:00:00.000000,PM25,6
66,10000,2016-06-12 08:00:00.000000,PM25,5
67,10000,2016-06-12 09:00:00.000000,PM25,5
68,10000,2016-06-12 10:00:00.000000,PM25,6
69,10000,2016-06-12 11:00:00.000000,PM25,5
70,10000,2016-06-12 12:00:00.000000,PM25,5
71,10000,2016-06-12 13:00:00.000000,PM25,5
72,10000,2016-06-12 14:00:00.000000,PM25,5
73,10000,2016-06-12 15:00:00.000000,PM25,6
74,10000,2016-06-12 16:00:00.000000,PM25,6
75,10000,2016-06-12 17:00:00.000000,PM25,7
76,10000,2016-06-12 18:00:00.000000,PM25,9
77,10000,2016-06-12 19:00:00.000000,PM25,10
78,10000,2016-06-12 20:00:00.000000,PM25,11
79,10000,2016-06-12 21:00:00.000000,PM25,12
80,10000,2016-06-12 22:00:00.000000,PM25,13
81,10000,2016-06-12 23:00:00.000000,PM25,13
82,10000,2021-01-01 00:00:00.000000,NO2,4
83,10000,2021-01-01 01:00:00.000000,NO2,4
84,10000,2021-01-01 02:00:00.000000,NO2,4
85,10000,2021-01-01 03:00:00.000000,NO2,4
86,10000,2021-01-01 04:00:00.000000,NO2,5
87,10000,2021-01-01 05:00:00.000000,NO2,4
88,10000,2021-01-01 06:00:00.000000,NO2,4
89,10000,2021-01-01 07:00:00.000000,NO2,5
90,10000,2021-01-01 08:00:00.000000,NO2,5
91,10000,2021-01-01 09:00:00.000000,NO2,6
92,10000,2021-01-01 10:00:00.000000,NO2,12
93,10000,2021-01-01 11:00:00.000000,NO2,6
94,10000,2021-01-01 12:00:00.000000,NO2,4
95,10000,2021-01-01 13:00:00.000000,NO2,4
96,10000,2021-01-01 14:00:00.000000,NO2,4
97,10000,2021-01-01 15:00:00.000000,NO2,4
98,10000,2021-01-01 16:00:00.000000,NO2,5
99,10000,2021-01-01 17:00:00.000000,NO2,5
100,10000,2021-01-01 18:00:00.000000,NO2,5
101,10000,2021-01-01 19:00:00.000000,NO2,4
102,10000,2021-01-01 20:00:00.000000,NO2,4
103,10000,2021-01-01 21:00:00.000000,NO2,4
104,10000,2021-01-01 22:00:00.000000,NO2,4
105,10000,2021-01-01 23:00:00.000000,NO2,4
106,10000,2021-01-02 00:00:00.000000,NO2,6
107,10000,2021-01-02 01:00:00.000000,NO2,3
108,10000,2021-01-02 02:00:00.000000,NO2,3
109,10000,2021-01-02 03:00:00.000000,NO2,3
110,10000,2021-01-02 04:00:00.000000,NO2,3
111,10000,2021-01-02 05:00:00.000000,NO2,3
112,10000,2021-01-02 06:00:00.000000,NO2,3
113,10000,2021-01-02 07:00:00.000000,NO2,4
114,10000,2021-01-02 08:00:00.000000,NO2,5
115,10000,2021-01-02 09:00:00.000000,NO2,5
116,10000,2021-01-02 10:00:00.000000,NO2,7
117,10000,2021-01-02 11:00:00.000000,NO2,7
118,10000,2021-01-02 12:00:00.000000,NO2,8
119,10000,2021-01-02 13:00:00.000000,NO2,5
120,10000,2021-01-02 14:00:00.000000,NO2,5
121,10000,2021-01-02 15:00:00.000000,NO2,5
122,10000,2021-01-02 16:00:00.000000,NO2,6
123,10000,2021-01-02 17:00:00.000000,NO2,8
124,10000,2021-01-02 18:00:00.000000,NO2,8
125,10000,2021-01-02 19:00:00.000000,NO2,8
126,10000,2021-01-02 20:00:00.000000,NO2,20
127,10000,2021-01-02 21:00:00.000000,NO2,10
128,10000,2021-01-02 22:00:00.000000,NO2,8
129,10000,2021-01-02 23:00:00.000000,NO2,7
130,10000,2021-01-03 00:00:00.000000,NO2,1
131,10000,2021-01-03 01:00:00.000000,NO2,9
