#,station,moment,variable
1,03006,2016-01-01 00:00:00.000000,CO
2,03006,2016-01-01 00:00:00.000000,NO2
3,03006,2016-01-01 00:00:00.000000,O3
4,03006,2016-01-01 00:00:00.000000,PM25
5,03006,2016-01-01 00:00:00.000000,SO2
6,03006,2016-01-01 00:01:00.000000,CO
7,03006,2016-01-01 00:01:00.000000,NO2
8,03006,2016-01-01 00:01:00.000000,O3
9,03006,2016-01-01 00:01:00.000000,PM25
10,03006,2016-01-01 00:01:00.000000,SO2
11,03006,2016-01-01 00:02:00.000000,CO
12,03006,2016-01-01 00:02:00.000000,NO2
13,03006,2016-01-01 00:02:00.000000,O3
14,03006,2016-01-01 00:02:00.000000,PM25
15,03006,2016-01-01 00:02:00.000000,SO2
16,03006,2016-01-01 00:03:00.000000,CO
17,03006,2016-01-01 00:03:00.000000,NO2
18,03006,2016-01-01 00:03:00.000000,O3
19,03006,2016-01-01 00:03:00.000000,PM25
20,03006,2016-01-01 00:03:00.000000,SO2
21,03006,2016-01-01 00:04:00.000000,CO
22,03006,2016-01-01 00:04:00.000000,NO2
23,03006,2016-01-01 00:04:00.000000,O3
24,03006,2016-01-01 00:04:00.000000,PM25
25,03006,2016-01-01 00:04:00.000000,SO2
26,03006,2016-01-01 00:05:00.000000,CO
27,03006,2016-01-01 00:05:00.000000,NO2
28,03006,2016-01-01 00:05:00.000000,O3
29,03006,2016-01-01 00:05:00.000000,PM25
30,03006,2016-01-01 00:05:00.000000,SO2
31,03006,2016-01-01 00:06:00.000000,CO
32,03006,2016-01-01 00:06:00.000000,NO2
33,03006,2016-01-01 00:06:00.000000,O3
34,03006,2016-01-01 00:06:00.000000,PM25
35,03006,2016-01-01 00:06:00.000000,SO2
36,03006,2016-01-01 00:07:00.000000,CO
37,03006,2016-01-01 00:07:00.000000,NO2
38,03006,2016-01-01 00:07:00.000000,O3
39,03006,2016-01-01 00:07:00.000000,PM25
40,03006,2016-01-01 00:07:00.000000,SO2
41,03006,2016-01-01 00:08:00.000000,CO
42,03006,2016-01-01 00:08:00.000000,NO2
43,03006,2016-01-01 00:08:00.000000,O3
44,03006,2016-01-01 00:08:00.000000,PM25
45,03006,2016-01-01 00:08:00.000000,SO2
46,03006,2016-01-01 00:09:00.000000,CO
47,03006,2016-01-01 00:09:00.000000,NO2
48,03006,2016-01-01 00:09:00.000000,O3
49,03006,2016-01-01 00:09:00.000000,PM25
50,03006,2016-01-01 00:09:00.000000,SO2
51,03006,2016-01-01 00:10:00.000000,CO
52,03006,2016-01-01 00:10:00.000000,NO2
53,03006,2016-01-01 00:10:00.000000,O3
54,03006,2016-01-01 00:10:00.000000,PM25
55,03006,2016-01-01 00:10:00.000000,SO2
56,03006,2016-01-01 00:11:00.000000,CO
57,03006,2016-01-01 00:11:00.000000,NO2
58,03006,2016-01-01 00:11:00.000000,O3
59,03006,2016-01-01 00:11:00.000000,PM25
60,03006,2016-01-01 00:11:00.000000,SO2
61,03006,2016-01-01 00:12:00.000000,CO
62,03006,2016-01-01 00:12:00.000000,NO2
63,03006,2016-01-01 00:12:00.000000,O3
64,03006,2016-01-01 00:12:00.000000,PM25
65,03006,2016-01-01 00:12:00.000000,SO2
66,03006,2016-01-01 00:13:00.000000,CO
67,03006,2016-01-01 00:13:00.000000,NO2
68,03006,2016-01-01 00:13:00.000000,O3
69,03006,2016-01-01 00:13:00.000000,PM25
70,03006,2016-01-01 00:13:00.000000,SO2
71,03006,2016-01-01 00:14:00.000000,CO
72,03006,2016-01-01 00:14:00.000000,NO2
73,03006,2016-01-01 00:14:00.000000,O3
74,03006,2016-01-01 00:14:00.000000,PM25
75,03006,2016-01-01 00:14:00.000000,SO2
76,03006,2016-01-01 00:15:00.000000,CO
77,03006,2016-01-01 00:15:00.000000,NO2
78,03006,2016-01-01 00:15:00.000000,O3
79,03006,2016-01-01 00:15:00.000000,PM25
80,03006,2016-01-01 00:15:00.000000,SO2
81,03006,2016-01-01 00:16:00.000000,CO
82,03006,2016-01-01 00:16:00.000000,NO2
83,03006,2016-01-01 00:16:00.000000,O3
84,03006,2016-01-01 00:16:00.000000,PM25
85,03006,2016-01-01 00:16:00.000000,SO2
86,03006,2016-01-01 00:17:00.000000,CO
87,03006,2016-01-01 00:17:00.000000,NO2
88,03006,2016-01-01 00:17:00.000000,O3
89,03006,2016-01-01 00:17:00.000000,PM25
90,03006,2016-01-01 00:17:00.000000,SO2
91,03006,2016-01-01 00:18:00.000000,CO
92,03006,2016-01-01 00:18:00.000000,NO2
93,03006,2016-01-01 00:18:00.000000,O3
94,03006,2016-01-01 00:18:00.000000,PM25
95,03006,2016-01-01 00:18:00.000000,SO2
96,03006,2016-01-01 00:19:00.000000,CO
97,03006,2016-01-01 00:19:00.000000,NO2
98,03006,2016-01-01 00:19:00.000000,O3
99,03006,2016-01-01 00:19:00.000000,PM25
100,03006,2016-01-01 00:19:00.000000,SO2
101,03006,2016-01-01 00:20:00.000000,CO
102,03006,2016-01-01 00:20:00.000000,NO2
103,03006,2016-01-01 00:20:00.000000,O3
104,03006,2016-01-01 00:20:00.000000,PM25
105,03006,2016-01-01 00:20:00.000000,SO2
106,03006,2016-01-01 00:21:00.000000,CO
107,03006,2016-01-01 00:21:00.000000,NO2
108,03006,2016-01-01 00:21:00.000000,O3
109,03006,2016-01-01 00:21:00.000000,PM25
110,03006,2016-01-01 00:21:00.000000,SO2
111,03006,2016-01-01 00:22:00.000000,CO
112,03006,2016-01-01 00:22:00.000000,NO2
113,03006,2016-01-01 00:22:00.000000,O3
114,03006,2016-01-01 00:22:00.000000,PM25
115,03006,2016-01-01 00:22:00.000000,SO2
116,03006,2016-01-01 00:23:00.000000,CO
117,03006,2016-01-01 00:23:00.000000,NO2
118,03006,2016-01-01 00:23:00.000000,O3
119,03006,2016-01-01 00:23:00.000000,PM25
120,03006,2016-01-01 00:23:00.000000,SO2
121,03006,2016-01-02 00:00:00.000000,CO
122,03006,2016-01-02 00:00:00.000000,NO2
123,03006,2016-01-02 00:00:00.000000,O3
124,03006,2016-01-02 00:00:00.000000,PM25
125,03006,2016-01-02 00:00:00.000000,SO2
126,03006,2016-01-02 00:01:00.000000,CO
127,03006,2016-01-02 00:01:00.000000,NO2
128,03006,2016-01-02 00:01:00.000000,O3
129,03006,2016-01-02 00:01:00.000000,PM25
130,03006,2016-01-02 00:01:00.000000,SO2
131,03006,2016-01-02 00:02:00.000000,CO
132,03006,2016-01-02 00:02:00.000000,NO2
133,03006,2016-01-02 00:02:00.000000,O3
134,03006,2016-01-02 00:02:00.000000,PM25
135,03006,2016-01-02 00:02:00.000000,SO2
136,03006,2016-01-02 00:03:00.000000,CO
137,03006,2016-01-02 00:03:00.000000,NO2
138,03006,2016-01-02 00:03:00.000000,O3
139,03006,2016-01-02 00:03:00.000000,PM25
140,03006,2016-01-02 00:03:00.000000,SO2
141,03006,2016-01-02 00:04:00.000000,CO
142,03006,2016-01-02 00:04:00.000000,NO2
143,03006,2016-01-02 00:04:00.000000,O3
