#,station,moment,variable,cause
1,03006,2016-01-01 00:00:00.000000,SO2,Stockage
2,03006,2016-01-01 00:01:00.000000,SO2,Stockage
3,03006,2016-01-01 00:02:00.000000,CO,Stockage
4,03006,2016-01-01 00:02:00.000000,SO2,Stockage
5,03006,2016-01-01 00:03:00.000000,SO2,Stockage
6,03006,2016-01-01 00:04:00.000000,SO2,Stockage
7,03006,2016-01-01 00:05:00.000000,SO2,Stockage
8,03006,2016-01-01 00:06:00.000000,SO2,Stockage
9,03006,2016-01-01 00:07:00.000000,SO2,Stockage
10,03006,2016-01-01 00:08:00.000000,SO2,Stockage
11,03006,2016-01-01 00:09:00.000000,SO2,Stockage
12,03006,2016-01-01 00:10:00.000000,SO2,Stockage
13,03006,2016-01-01 00:11:00.000000,SO2,Stockage
14,03006,2016-01-01 00:12:00.000000,SO2,Stockage
15,03006,2016-01-01 00:13:00.000000,SO2,Stockage
16,03006,2016-01-01 00:14:00.000000,SO2,Stockage
17,03006,2016-01-01 00:15:00.000000,SO2,Stockage
18,03006,2016-01-01 00:16:00.000000,SO2,Stockage
19,03006,2016-01-01 00:17:00.000000,SO2,Stockage
20,03006,2016-01-01 00:18:00.000000,SO2,Stockage
21,03006,2016-01-01 00:19:00.000000,SO2,Stockage
22,03006,2016-01-01 00:20:00.000000,SO2,Stockage
23,03006,2016-01-01 00:21:00.000000,SO2,Stockage
24,03006,2016-01-01 00:22:00.000000,SO2,Stockage
25,03006,2016-01-01 00:23:00.000000,SO2,Stockage
26,03006,2016-01-02 00:00:00.000000,SO2,Stockage
27,03006,2016-01-02 00:01:00.000000,SO2,Stockage
28,03006,2016-01-02 00:02:00.000000,CO,Stockage
29,03006,2016-01-02 00:02:00.000000,SO2,Stockage
30,03006,2016-01-02 00:03:00.000000,SO2,Stockage
31,03006,2016-01-02 00:04:00.000000,SO2,Stockage
32,03006,2016-01-02 00:05:00.000000,SO2,Stockage
33,03006,2016-01-02 00:06:00.000000,SO2,Stockage
34,03006,2016-01-02 00:07:00.000000,SO2,Stockage
35,03006,2016-01-02 00:08:00.000000,SO2,Stockage
36,03006,2016-01-02 00:09:00.000000,SO2,Stockage
37,03006,2016-01-02 00:10:00.000000,SO2,Stockage
38,03006,2016-01-02 00:11:00.000000,SO2,Stockage
39,03006,2016-01-02 00:12:00.000000,SO2,Stockage
40,03006,2016-01-02 00:13:00.000000,SO2,Stockage
41,03006,2016-01-02 00:14:00.000000,SO2,Stockage
42,03006,2016-01-02 00:15:00.000000,SO2,Stockage
43,03006,2016-01-02 00:16:00.000000,SO2,Stockage
44,03006,2016-01-02 00:17:00.000000,SO2,Stockage
