station,moment,variable,valeur
03006,2016-01-01 00:00:00.000000,CO,0.1485
03006,2016-01-01 00:00:00.000000,NO2,1.7727
03006,2016-01-01 00:00:00.000000,O3,25.3033
03006,2016-01-01 00:00:00.000000,PM25,2
03006,2016-01-01 00:01:00.000000,CO,0.154
03006,2016-01-01 00:01:00.000000,NO2,1.5441
03006,2016-01-01 00:01:00.000000,O3,26.3522
03006,2016-01-01 00:01:00.000000,PM25,5
03006,2016-01-01 00:02:00.000000,NO2,3.9185
03006,2016-01-01 00:02:00.000000,O3,25.4387
03006,2016-01-01 00:02:00.000000,PM25,4
03006,2016-01-01 00:03:00.000000,CO,0.174
03006,2016-01-01 00:03:00.000000,NO2,2.8124
03006,2016-01-01 00:03:00.000000,O3,25.8016
03006,2016-01-01 00:03:00.000000,PM25,4
03006,2016-01-01 00:04:00.000000,CO,0.1725
03006,2016-01-01 00:04:00.000000,NO2,1.946
03006,2016-01-01 00:04:00.000000,O3,26.764
03006,2016-01-01 00:04:00.000000,PM25,2
03006,2016-01-01 00:05:00.000000,CO,0.163
03006,2016-01-01 00:05:00.000000,NO2,2.3077
03006,2016-01-01 00:05:00.000000,O3,25.5257
03006,2016-01-01 00:05:00.000000,PM25,1
03006,2016-01-01 00:06:00.000000,CO,0.1592
03006,2016-01-01 00:06:00.000000,NO2,1.8092
03006,2016-01-01 00:06:00.000000,O3,26.2605
03006,2016-01-01 00:06:00.000000,PM25,3
03006,2016-01-01 00:07:00.000000,CO,0.1491
03006,2016-01-01 00:07:00.000000,NO2,2.2408
03006,2016-01-01 00:07:00.000000,O3,26.039
03006,2016-01-01 00:07:00.000000,PM25,5
03006,2016-01-01 00:08:00.000000,CO,0.1635
03006,2016-01-01 00:08:00.000000,NO2,2.2932
03006,2016-01-01 00:08:00.000000,O3,25.7445
03006,2016-01-01 00:08:00.000000,PM25,5
03006,2016-01-01 00:09:00.000000,CO,0.1555
03006,2016-01-01 00:09:00.000000,NO2,2.5115
03006,2016-01-01 00:09:00.000000,O3,25.397
03006,2016-01-01 00:09:00.000000,PM25,4
03006,2016-01-01 00:10:00.000000,CO,0.1582
03006,2016-01-01 00:10:00.000000,NO2,1.6687
03006,2016-01-01 00:10:00.000000,O3,26.2622
03006,2016-01-01 00:10:00.000000,PM25,7
03006,2016-01-01 00:11:00.000000,CO,0.1798
03006,2016-01-01 00:11:00.000000,NO2,1.4457
03006,2016-01-01 00:11:00.000000,O3,26.6702
03006,2016-01-01 00:11:00.000000,PM25,6
03006,2016-01-01 00:12:00.000000,CO,0.173
03006,2016-01-01 00:12:00.000000,NO2,1.0965
03006,2016-01-01 00:12:00.000000,O3,27.653
03006,2016-01-01 00:12:00.000000,PM25,3
03006,2016-01-01 00:13:00.000000,CO,0.1889
03006,2016-01-01 00:13:00.000000,NO2,1.8967
03006,2016-01-01 00:13:00.000000,O3,28.5008
03006,2016-01-01 00:13:00.000000,PM25,11
03006,2016-01-01 00:14:00.000000,CO,0.2262
03006,2016-01-01 00:14:00.000000,NO2,3.3553
03006,2016-01-01 00:14:00.000000,O3,27.0532
03006,2016-01-01 00:14:00.000000,PM25,10
03006,2016-01-01 00:15:00.000000,CO,0.1947
03006,2016-01-01 00:15:00.000000,NO2,2.7548
03006,2016-01-01 00:15:00.000000,O3,28.7952
03006,2016-01-01 00:15:00.000000,PM25,10
03006,2016-01-01 00:16:00.000000,CO,0.1998
03006,2016-01-01 00:16:00.000000,NO2,3.1422
03006,2016-01-01 00:16:00.000000,O3,29.8768
03006,2016-01-01 00:16:00.000000,PM25,8
03006,2016-01-01 00:17:00.000000,CO,0.2102
03006,2016-01-01 00:17:00.000000,NO2,4.3365
03006,2016-01-01 00:17:00.000000,O3,28.763
03006,2016-01-01 00:17:00.000000,PM25,12
03006,2016-01-01 00:18:00.000000,CO,0.207
03006,2016-01-01 00:18:00.000000,NO2,4.4432
03006,2016-01-01 00:18:00.000000,O3,27.3118
03006,2016-01-01 00:18:00.000000,PM25,10
03006,2016-01-01 00:19:00.000000,CO,0.1985
03006,2016-01-01 00:19:00.000000,NO2,4.754
03006,2016-01-01 00:19:00.000000,O3,26.1802
03006,2016-01-01 00:19:00.000000,PM25,12
03006,2016-01-01 00:20:00.000000,CO,0.2278
03006,2016-01-01 00:20:00.000000,NO2,5.225
03006,2016-01-01 00:20:00.000000,O3,24.5002
03006,2016-01-01 00:20:00.000000,PM25,12
03006,2016-01-01 00:21:00.000000,CO,0.2615
03006,2016-01-01 00:21:00.000000,NO2,4.4803
03006,2016-01-01 00:21:00.000000,O3,24.588
03006,2016-01-01 00:21:00.000000,PM25,12
03006,2016-01-01 00:22:00.000000,CO,0.2198
03006,2016-01-01 00:22:00.000000,NO2,5.101
03006,2016-01-01 00:22:00.000000,O3,23.5835
03006,2016-01-01 00:22:00.000000,PM25,12
03006,2016-01-01 00:23:00.000000,CO,0.2172
03006,2016-01-01 00:23:00.000000,NO2,4.0795
03006,2016-01-01 00:23:00.000000,O3,26.825
03006,2016-01-01 00:23:00.000000,PM25,9
03006,2016-01-02 00:00:00.000000,CO,0.2263
03006,2016-01-02 00:00:00.000000,NO2,2.9472
03006,2016-01-02 00:00:00.000000,O3,29.7222
03006,2016-01-02 00:00:00.000000,PM25,11
03006,2016-01-02 00:01:00.000000,CO,0.2011
03006,2016-01-02 00:01:00.000000,NO2,2.5004
03006,2016-01-02 00:01:00.000000,O3,28.7918
03006,2016-01-02 00:01:00.000000,PM25,7
03006,2016-01-02 00:02:00.000000,NO2,2.8623
03006,2016-01-02 00:02:00.000000,O3,28.9028
03006,2016-01-02 00:02:00.000000,PM25,8
03006,2016-01-02 00:03:00.000000,CO,0.206
03006,2016-01-02 00:03:00.000000,NO2,2.2864
03006,2016-01-02 00:03:00.000000,O3,29.3044
03006,2016-01-02 00:03:00.000000,PM25,10
03006,2016-01-02 00:04:00.000000,CO,0.1927
03006,2016-01-02 00:04:00.000000,NO2,1.8968
03006,2016-01-02 00:04:00.000000,O3,31.1719
03006,2016-01-02 00:04:00.000000,PM25,9
03006,2016-01-02 00:05:00.000000,CO,0.174
03006,2016-01-02 00:05:00.000000,NO2,1.2528
03006,2016-01-02 00:05:00.000000,O3,31.9068
03006,2016-01-02 00:05:00.000000,PM25,8
03006,2016-01-02 00:06:00.000000,CO,0.1653
03006,2016-01-02 00:06:00.000000,NO2,1.2102
03006,2016-01-02 00:06:00.000000,O3,32.2483
03006,2016-01-02 00:06:00.000000,PM25,7
03006,2016-01-02 00:07:00.000000,CO,0.1943
03006,2016-01-02 00:07:00.000000,NO2,2.11
03006,2016-01-02 00:07:00.000000,O3,30.6657
03006,2016-01-02 00:07:00.000000,PM25,7
03006,2016-01-02 00:08:00.000000,CO,0.1808
03006,2016-01-02 00:08:00.000000,NO2,1.6785
03006,2016-01-02 00:08:00.000000,O3,30.7145
03006,2016-01-02 00:08:00.000000,PM25,6
03006,2016-01-02 00:09:00.000000,CO,0.1562
03006,2016-01-02 00:09:00.000000,NO2,1.457
03006,2016-01-02 00:09:00.000000,O3,30.7833
03006,2016-01-02 00:09:00.000000,PM25,7
03006,2016-01-02 00:10:00.000000,CO,0.1747
03006,2016-01-02 00:10:00.000000,NO2,1.5077
