sym,nom,term_add,fact_mul,dim_temps,dim_longueur,dim_masse,dim_electrique,dim_temperature,dim_mole,dim_lumiere,dim_radian,dim_steradian,dim_binaire
s,seconde,0,1,1,0,0,0,0,0,0,0,0,0
m,mètre,0,1,0,1,0,0,0,0,0,0,0,0
kg,kilogramme,0,1,0,0,1,0,0,0,0,0,0,0
A,ampère,0,1,0,0,0,1,0,0,0,0,0,0
K,kelvin,0,1,0,0,0,0,1,0,0,0,0,0
mol,mole,0,1,0,0,0,0,0,1,0,0,0,0
cd,candela,0,1,0,0,0,0,0,0,1,0,0,0
rad,radian,0,1,0,0,0,0,0,0,0,1,0,0
sr,stéradian,0,1,0,0,0,0,0,0,0,0,1,0
bit,binaire,0,1,0,0,0,0,0,0,0,0,0,1
h,heure,0,3600,1,0,0,0,0,0,0,0,0,0
a,année,0,31536000,1,0,0,0,0,0,0,0,0,0
μg m-3,microgramme par mètre cube,0,0.00000001,0,-3,1,0,0,0,0,0,0,0
ppc,parties par centaine,0,0.1,0,0,0,0,0,0,0,0,0,0
ppm,parties par million,0,0.00001,0,0,0,0,0,0,0,0,0,0
ppb,parties par milliard,0,0.00000001,0,0,0,0,0,0,0,0,0,0
Bq,becquerel,0,1,-1,0,0,0,0,0,0,0,0,0
C,coulomb,0,1,1,0,0,1,0,0,0,0,0,0
F,farad,0,1,4,-2,-1,2,0,0,0,0,0,0
Gy,gray,0,1,-2,2,0,0,0,0,0,0,0,0
H,henry,0,1,-2,2,1,-2,0,0,0,0,0,0
Hz,hertz,0,1,-1,0,0,0,0,0,0,0,0,0
J,joule,0,1,-2,2,1,0,0,0,0,0,0,0
kat,katal,0,1,-1,0,0,0,0,1,0,0,0,0
lm,lumen,0,1,0,0,0,0,0,0,1,0,1,0
lx,lux,0,1,0,-2,0,0,0,0,1,0,1,0
N,newton,0,1,-2,1,1,0,0,0,0,0,0,0
Ω,ohm,0,1,-3,2,1,-2,0,0,0,0,0,0
Pa,pascal,0,1,-2,-1,1,0,0,0,0,0,0,0
S,siemens,0,1,3,-2,-1,2,0,0,0,0,0,0
Sv,sievert,0,1,-2,2,0,0,0,0,0,0,0,0
T,tesla,0,1,-2,0,1,-1,0,0,0,0,0,0
V,volt,0,1,-3,2,1,-1,0,0,0,0,0,0
W,watt,0,1,-3,2,1,0,0,0,0,0,0,0
Wb,weber,0,1,-2,2,1,-1,0,0,0,0,0,0
